event_time_utc,currency,impact,event_name
2024-01-11T13:30:00Z,USD,HIGH,CPI m/m
2024-01-31T19:00:00Z,USD,HIGH,FOMC Statement
2024-02-02T13:30:00Z,USD,HIGH,Non-Farm Employment Change
2024-02-13T13:30:00Z,USD,HIGH,CPI m/m
2024-03-08T13:30:00Z,USD,HIGH,Non-Farm Employment Change
2024-03-20T18:00:00Z,USD,HIGH,FOMC Economic Projections
2024-03-20T18:30:00Z,USD,HIGH,Fed Chair Press Conference
2024-04-10T12:30:00Z,USD,HIGH,CPI m/m
2024-05-01T18:00:00Z,USD,HIGH,FOMC Statement
2024-06-12T12:30:00Z,USD,HIGH,CPI m/m
